name,url,promoted_content,tweet_volume
#InformeEdomex,http://twitter.com/search?q=%23InformeEdomex,,
#DíaMundialDeLaSalud,http://twitter.com/search?q=%23D%C3%ADaMundialDeLaSalud,,174865
#MásConvoy,http://twitter.com/search?q=%23M%C3%A1sConvoy,,
#DualSense,http://twitter.com/search?q=%23DualSense,,
Metepec,http://twitter.com/search?q=Metepec,,10606
#우리의_청춘_시대는_엑소라고_부른다,http://twitter.com/search?q=%23%EC%9A%B0%EB%A6%AC%EC%9D%98_%EC%B2%AD%EC%B6%98_%EC%8B%9C%EB%8C%80%EB%8A%94_%EC%97%91%EC%86%8C%EB%9D%BC%EA%B3%A0_%EB%B6%80%EB%A5%B8%EB%8B%A4,,1576809
NO PAGO,http://twitter.com/search?q=%22NO+PAGO%22,,
Tenía 11,http://twitter.com/search?q=%22Ten%C3%ADa+11%22,,
Rafael Correa,http://twitter.com/search?q=%22Rafael+Correa%22,,65946
Our Brightest Moon Jin,http://twitter.com/search?q=%22Our+Brightest+Moon+Jin%22,,26344
Bryan,http://twitter.com/search?q=Bryan,,29049
paraguay,http://twitter.com/search?q=paraguay,,21382
DualShock 4,http://twitter.com/search?q=%22DualShock+4%22,,
Estado Laico,http://twitter.com/search?q=%22Estado+Laico%22,,17102
Logan Antonia,http://twitter.com/search?q=%22Logan+Antonia%22,,
Jackie Chan,http://twitter.com/search?q=%22Jackie+Chan%22,,
México-Pachuca,http://twitter.com/search?q=M%C3%A9xico-Pachuca,,
Gabriela Gamboa,http://twitter.com/search?q=%22Gabriela+Gamboa%22,,
Dante Delgado,http://twitter.com/search?q=%22Dante+Delgado%22,,
Yanny,http://twitter.com/search?q=Yanny,,35920
Mastuerzo,http://twitter.com/search?q=Mastuerzo,,
Mahahual,http://twitter.com/search?q=Mahahual,,
Juarista,http://twitter.com/search?q=Juarista,,
Mensaje del Gobernador,http://twitter.com/search?q=%22Mensaje+del+Gobernador%22,,
Francis Ford Coppola,http://twitter.com/search?q=%22Francis+Ford+Coppola%22,,12979
carlos salazar,http://twitter.com/search?q=%22carlos+salazar%22,,
Abraham Mateo,http://twitter.com/search?q=%22Abraham+Mateo%22,,
Mil 80,http://twitter.com/search?q=%22Mil+80%22,,
Cruyff,http://twitter.com/search?q=Cruyff,,
Obed Durón Gómez,http://twitter.com/search?q=%22Obed+Dur%C3%B3n+G%C3%B3mez%22,,
Thomas Müller,http://twitter.com/search?q=%22Thomas+M%C3%BCller%22,,
#FinDelMundo,http://twitter.com/search?q=%23FinDelMundo,,13245
#ElCorazonLateSi,http://twitter.com/search?q=%23ElCorazonLateSi,,
#CuarentenaKs,http://twitter.com/search?q=%23CuarentenaKs,,34872
#ApologizeToDino,http://twitter.com/search?q=%23ApologizeToDino,,
#HappyJonghyunDay,http://twitter.com/search?q=%23HappyJonghyunDay,,359851
#7Abril,http://twitter.com/search?q=%237Abril,,16467
#JuroQueCuandoEstoTermine,http://twitter.com/search?q=%23JuroQueCuandoEstoTermine,,
#PS5reveal,http://twitter.com/search?q=%23PS5reveal,,
#eLIGAMX,http://twitter.com/search?q=%23eLIGAMX,,
#El5TeAcompaña,http://twitter.com/search?q=%23El5TeAcompa%C3%B1a,,
#InsideXbox,http://twitter.com/search?q=%23InsideXbox,,
#BuenMartes,http://twitter.com/search?q=%23BuenMartes,,10661
#buyugh,http://twitter.com/search?q=%23buyugh,,76108
#exolselcaday,http://twitter.com/search?q=%23exolselcaday,,88965
#HappyWooBearDay,http://twitter.com/search?q=%23HappyWooBearDay,,25330
#WeNeedTeenWolfBack,http://twitter.com/search?q=%23WeNeedTeenWolfBack,,
#방탄소년단진,http://twitter.com/search?q=%23%EB%B0%A9%ED%83%84%EC%86%8C%EB%85%84%EB%8B%A8%EC%A7%84,,57394
#1millionwithateez,http://twitter.com/search?q=%231millionwithateez,,
#FelizCumpleañosChekoZáun,http://twitter.com/search?q=%23FelizCumplea%C3%B1osChekoZ%C3%A1un,,
